Treat,Till_treat,Agg_class,Average Total Recovery,agg_comp,sd
NT,NT,1-2mm,255.75,0.206076205,0.021289112
NT,NT,0.025-1mm,371.88,0.299645603,0.034127327
NT,NT,<0.025mm,132.48,0.106756951,0.034303137
NT,NT,>2mm,481.05,0.387541328,0.045115798
FT,FT,1-2mm,226.13,0.182161417,0.03252527
FT,FT,0.025-1mm,400.45,0.322544629,0.055410445
FT,FT,<0.025mm,178.05,0.143446618,0.060952964
FT,FT,>2mm,436.75,0.351847336,0.071728444
NT-PST,NT,1-2mm,241.68,0.194319133,0.00326866
NT-PST,NT,0.025-1mm,365.3,0.293699612,0.014799132
NT-PST,NT,<0.025mm,157.29,0.126489134,0.021532611
NT-PST,NT,>2mm,479.45,0.385492122,0.020201458
FT-PST,FT,1-2mm,200.03,0.161061126,0.005657637
FT-PST,FT,0.025-1mm,408.5,0.328918216,0.012040748
FT-PST,FT,<0.025mm,239.83,0.193116388,0.03184425
FT-PST,FT,>2mm,393.55,0.31690427,0.02118259
