site_id,block,treat,till_treat,pst_treat,agg_class,pH,EC,WHC,TC,TN ,C:N,MBC_ando,DNA_ug_g.1,water_resp,arginine,glucose,trehalose,malic_acid,arabinose,citric_acid,lysine,tot_resp,LAP_raw,PHOS_raw,BG_raw,CBH_raw,NAG_raw,CUE,CWM_mbp,CWM_copy,Growth Rate
1-1-a,1,1,No-Till,No-PST,1mm-2mm,7.05,33.15,0.678,0.02341536,0.002045811,11.45,328.969111,18.67901246,1.050105623,1.406235414,2.975221459,1.6916905,1.476407488,1.998534022,3.04032776,0.560748454,13.1491651,66.60716438,480.8015638,337.0267853,100.2265036,126.4657349,NA,4.44626481,1.536986605,NA
1-1-b,1,1,No-Till,No-PST,0.25mm-1mm,7.02,45.08,0.707,0.020879399,0.001894679,11.02,353.2165008,19.85661568,1.243702685,1.547044188,3.078654034,2.044395171,2.090020556,1.579075065,2.168165927,0.428836678,12.93619162,71.63278263,462.0996808,362.1518679,86.47872478,93.50192994,NA,4.554508007,1.549626911,NA
1-1-c,1,1,No-Till,No-PST,<0.25mm,6.74,41.98,0.745,0.025156709,0.002349438,10.71,322.2399384,19.5519475,0.988727189,1.525410721,2.954167773,2.323867843,2.06376449,0.88307523,2.104025323,0.562313152,12.41662453,144.7056549,873.937528,627.7146918,140.4029219,152.4939468,NA,4.469354669,1.541699037,NA
1-1-d,1,1,No-Till,No-PST,>2mm,6.58,42.13,0.639,0.027449648,0.002496113,11,238.390378,21.29626572,1.00217783,1.422521716,1.913563087,1.834854582,1.737962365,2.157863401,3.330880399,0.611717286,13.00936284,65.58757739,421.6463678,402.3208124,105.2040156,118.9332702,NA,4.575308126,1.533794035,NA
1-2-a,1,2,Full-Till,No-PST,1mm-2mm,6.66,17.67,0.587,0.020067871,0.001950915,10.29,196.0834713,13.24293137,0.892095485,1.323047423,1.505387375,1.026182349,1.274492293,0.930690816,2.153319451,0.672446487,8.885566194,42.99206692,368.2773653,136.5596796,31.98955684,55.37928191,NA,4.499203119,1.566113001,NA
1-2-b,1,2,Full-Till,No-PST,0.25mm-1mm,6.64,16.6,0.646,0.018474322,0.001744432,10.59,205.7357667,12.17358325,1.032592652,1.728455795,1.483130471,1.010077667,0.981276533,0.535815595,0.807597965,0.523558255,7.069912281,93.69372913,683.6902562,276.5860723,57.60174273,79.48356661,NA,4.467002475,1.535748435,NA
1-2-c,1,2,Full-Till,No-PST,<0.25mm,6.61,14.75,0.646,0.018772573,0.001788034,10.5,218.2544796,10.93718333,1.62962655,0.661803806,1.03945035,0,0.037189632,0.286705316,0.74348775,0,2.768636854,106.3497442,896.8520744,362.4690074,56.77429036,102.1870363,NA,4.393403156,1.565529941,NA
1-2-d,1,2,Full-Till,No-PST,>2mm,6.65,14.58,0.555,0.019533453,0.001854589,10.53,165.024868,10.31312354,0.805249263,1.173919036,1.211766842,1.620215413,1.239978516,0.926368743,1.537945171,0.626907489,8.33710121,40.67521496,262.4778002,166.0285452,22.72624661,33.84593965,NA,4.292197758,1.535764348,NA
1-3-a,1,3,No-Till,PST,1mm-2mm,6.46,15.55,0.615,0.024190353,0.00216199,11.19,337.3077109,13.80654106,1.159580883,2.360721367,2.967893742,2.018222682,1.006465731,1.703490701,2.735419185,0.835815153,13.62802856,40.36225467,339.1005362,186.5673292,44.15035113,52.85662599,NA,NA,NA,NA
1-3-b,1,3,No-Till,PST,0.25mm-1mm,6.36,21.71,0.682,0.023459157,0.002121351,11.06,336.3860359,16.86358512,1.509427731,1.4803971,2.606756409,1.602589073,0.812410096,1.601566508,1.791747096,0.248081617,10.1435479,49.70707541,468.821745,216.0186219,59.65983271,81.80094057,NA,4.478830323,1.581028879,NA
1-3-c,1,3,No-Till,PST,<0.25mm,6.28,32.79,0.725,0.024304044,0.002272946,10.69,172.1386765,15.80702757,1.992738396,0.041068996,0.111421604,0,0,0.113758745,0.053986086,0,0.320235431,36.21986898,403.8774532,225.3186593,54.51823396,62.18642822,NA,4.456158777,1.557264466,NA
1-3-d,1,3,No-Till,PST,>2mm,6.43,18.02,0.515,0.022997237,0.002237685,10.28,147.1316834,12.92689622,1.443098271,0.350813078,0.354726978,0.330254141,0.029316171,1.046402407,1.245814562,0.203186075,3.560513412,46.92554252,466.2041616,312.479316,79.2879586,109.4681919,NA,4.558140302,1.597231688,NA
1-4-a,1,4,Full-Till,PST,1mm-2mm,6.37,12.78,0.503,0.018772945,0.001703528,11.02,110.1167146,8.31629788,0.777335896,0.632775839,0.567057341,0.536594596,0.489684231,0.620769312,1.324919705,0.272613299,4.444414323,61.40830391,743.6734418,181.0939137,34.18499079,43.78160041,NA,NA,NA,NA
1-4-b,1,4,Full-Till,PST,0.25mm-1mm,6.34,10.89,0.588,0.01816734,0.001763217,10.3,155.2762285,10.96903655,0.981763249,0.6092881,0.915832379,0.635440957,0.571361216,0.434022311,0.454685167,0.282321205,3.902951335,28.87802643,385.6754082,95.22776736,18.532782,33.69042693,NA,4.74182269,1.560583754,NA
1-4-c,1,4,Full-Till,PST,<0.25mm,6.16,16.69,0.685,0.021305139,0.00205557,10.36,232.1316536,9.548148335,1.155809564,1.722510191,1.683262209,1.248912345,0.870739496,0.66199227,1.07709762,0.183032588,7.447546719,37.51901393,562.2579877,155.5987516,22.31658803,40.30131614,0.347967019,4.540062459,1.531947707,0.232162033
1-4-d,1,4,Full-Till,PST,>2mm,6.21,10,0.468,0.015982027,0.001500552,10.65,109.4628463,9.993609998,0.603563008,0.7641552,0.732820366,1.060100519,0.706653691,0.594571217,0.92306584,0.118407304,4.899774137,28.12334345,345.8813074,115.4043283,15.57276397,34.21838125,0.139651768,4.704308023,1.617429114,0.09021164
2-1-a,2,1,No-Till,No-PST,1mm-2mm,6.85,33.34,0.468,0.016059785,0.001695459,9.47,193.62956,10.88159513,0.569005488,0.759828689,1.798417047,1.083842376,0.905149199,1.340745636,2.347360249,0.206380007,8.441723203,80.36979994,1211.460532,340.9519347,63.3650614,82.10491465,0.114258701,NA,NA,0.070139481
2-1-b,2,1,No-Till,No-PST,0.25mm-1mm,6.3,39.19,0.551,0.016978969,0.001758557,9.66,255.9692384,14.38045639,0.882410219,0.666980653,2.248671095,1.473718856,1.518709336,0.925253937,1.962280303,0.10222256,8.89783674,59.32664008,563.8037676,265.9305585,65.45014619,80.44783098,0.228064642,4.587870157,1.598237109,0.175913748
2-1-c,2,1,No-Till,No-PST,<0.25mm,6.25,41.38,0.669,0.018548512,0.001886561,9.83,300.987152,14.35914929,1.168064359,1.049613884,2.514484749,1.743029386,2.979543293,0.711911542,1.529489731,0.240829509,10.76890209,48.12529038,526.8584401,220.6303633,56.44891661,63.54619869,0.287912996,4.45264396,1.582862585,0.264204606
2-1-d,2,1,No-Till,No-PST,>2mm,6.15,37.79,0.48,0.016490703,0.001657398,9.95,165.9119891,12.64568206,0.595956279,0.734619926,1.431927027,1.183032497,1.189185022,1.329013832,1.637709335,0.385688858,7.891176497,40.15156376,384.8809135,241.8754808,59.36611364,83.17617639,0.141459405,4.579594665,1.655757748,0.082805669
2-2-a,2,2,Full-Till,No-PST,1mm-2mm,6,29.7,0.495,0.021105372,0.001808867,11.67,150.2025364,10.07814433,0.416868248,0.466203545,1.418574839,0.978305544,0.612977469,1.07167145,1.692525761,0.192627175,6.432885783,29.11561669,392.8225463,141.2089138,30.38103631,47.08330843,0.142015303,4.689592069,1.561844248,0.061072327
