ref.tax.name	IMG.genome.ID	status	domain	phylum	rRNA.gene.copy.number	genome.size.Mbp
ref1161	2501533205	Permanent Draft	Bacteria	Synergistetes	5	2.576359
ref2042534479	2040502012	Permanent Draft	Bacteria	Proteobacteria	1	2.95264
ref2143740447	2140918011	Draft	Bacteria	Chloroflexi	1	3.216964
ref2236277911	2228664026	Permanent Draft	Bacteria	Proteobacteria	1	1.99518
ref2236282586	2228664029	Permanent Draft	Bacteria	Proteobacteria	1	1.459518
ref2236283672	2228664030	Permanent Draft	Bacteria	Proteobacteria	1	0.358127
ref2236284710	2228664032	Permanent Draft	Bacteria	Proteobacteria	1	1.02098
ref2236295861	2228664039	Permanent Draft	Bacteria	Bacteroidetes	1	2.502015
ref2236297081	2228664040	Draft	Bacteria	Bacteroidetes	1	1.249725
ref2236345061	2228664055	Permanent Draft	Bacteria	Proteobacteria	1	1.311157
ref2236345974	2228664056	Permanent Draft	Bacteria	Proteobacteria	1	0.957144
ref2236437052	2236347005	Permanent Draft	Bacteria	Proteobacteria	1	0.715397
ref2236439299	2236347008	Permanent Draft	Bacteria	Proteobacteria	1	2.00088
ref2236440481	2236347009	Permanent Draft	Bacteria	Proteobacteria	1	1.74157
ref2236443305	2236347012	Permanent Draft	Bacteria	Proteobacteria	1	0.51715
ref2236444353	2236347013	Permanent Draft	Bacteria	Proteobacteria	1	1.742668
ref2236446051	2236347014	Permanent Draft	Bacteria	Proteobacteria	1	0.909786
ref2236448654	2236347016	Permanent Draft	Bacteria	Proteobacteria	1	0.177561
ref2236451118	2236347019	Permanent Draft	Bacteria	Actinobacteria	1	0.668084
ref2236452142	2236347020	Permanent Draft	Bacteria	Proteobacteria	1	0.954664
ref2236457175	2236347022	Permanent Draft	Bacteria	Proteobacteria	1	1.763976
ref2236660315	2236347069	Permanent Draft	Bacteria	Proteobacteria	1	0.925141
ref2236664786	2236661004	Permanent Draft	Bacteria	Actinobacteria	1	0.833294
ref2236666169	2236661005	Permanent Draft	Bacteria	Actinobacteria	1	1.286658
ref2236668838	2236661007	Permanent Draft	Bacteria	Actinobacteria	1	1.13849
ref2236670490	2236661009	Permanent Draft	Bacteria	Actinobacteria	1	0.753259
ref2236671292	2236661010	Draft	Bacteria	Proteobacteria	1	1.637941
ref2236674967	2236661012	Permanent Draft	Bacteria	Proteobacteria	1	0.812863
ref2236677969	2236661015	Draft	Bacteria	Proteobacteria	1	1.259838
ref2236679830	2236661017	Permanent Draft	Bacteria	Verrucomicrobia	1	1.231056
ref2236684950	2236661021	Draft	Bacteria	Candidatus Saccharibacteria	1	0.456864
ref2236699650	2236661025	Draft	Bacteria	Candidatus Saccharibacteria	1	0.781472
ref2236699932	2236661026	Draft	Bacteria	Candidatus Saccharibacteria	1	1.11259
ref2236701372	2236661027	Draft	Bacteria	Candidatus Saccharibacteria	2	1.306322
ref2236866364	2236661046	Draft	Bacteria	Proteobacteria	1	0.751743
ref2246768993	2236876027	Permanent Draft	Bacteria	Proteobacteria	1	0.328144
ref2246770601	2236876029	Permanent Draft	Bacteria	Proteobacteria	1	0.720523
ref2246773267	2236876032	Permanent Draft	Bacteria	Proteobacteria	1	0.67425
ref2263083025	2263082000	Draft	Archaea	Thaumarchaeota	1	1.48598
ref2263235615	2263196005	Draft	Bacteria	unclassified	2	2.089416
ref2264262012	2263328039	Permanent Draft	Archaea	Euryarchaeota	1	0.477287
ref2264263108	2263328040	Permanent Draft	Bacteria	Proteobacteria	1	2.077614
ref2264755205	2264265202	Draft	Bacteria	Chloroflexi	1	0.863677
ref2264756253	2264265203	Draft	Bacteria	Chloroflexi	1	0.657011
ref2264759036	2264265206	Draft	Bacteria	Planctomycetes	1	0.848364
ref2264766669	2264265214	Draft	Bacteria	Firmicutes	3	0.443606
ref2264768416	2264265216	Draft	Bacteria	Chloroflexi	1	0.773354
ref2264770006	2264265218	Draft	Bacteria	Spirochaetes	2	0.790113
ref2264770696	2264265219	Draft	Bacteria	Synergistetes	1	0.236037
ref2264771187	2264265220	Draft	Bacteria	Firmicutes	2	1.303557
ref2264773700	2264265222	Draft	Archaea	Euryarchaeota	1	0.838107
ref2264826924	2264813001	Permanent Draft	Bacteria	Acetothermia	1	1.970005
ref2264867966	2264867000	Permanent Draft	Archaea	Crenarchaeota	1	1.149914
ref2264871603	2264867004	Permanent Draft	Bacteria	Parcubacteria	1	0.553464
